feature,n,mean_shap,mean_abs_shap
subscription_step_10k,1235,0.004828848071665358,0.1975217668092469
market_turnover_ma20,1235,-0.0029798990346346726,0.15827199818501464
board,1235,0.0013842234948680608,0.12676053587201988
recent_ipo_first_day_return_ma20,1235,0.004816603715197059,0.09252509931339102
subscription_upper_limit_10k,1235,0.009922634283470984,0.08921602545271264
subscription_lower_limit_10k,1235,-0.0030454192034506354,0.08569206267395785
offline_issue_before_clawback_10k,1235,-0.0009573810329298729,0.07304153516338488
offline_issue_before_share_pct,1235,-0.006721119272414582,0.06253768918871869
market_turnover_ma20_over_ma60,1235,0.004917439013816946,0.05085711686593003
total_issue_shares_10k,1235,-0.004812377426398903,0.04268368104731679
online_issue_before_clawback_10k,1235,-0.005330964884598358,0.036307885859461514
same_board_concurrent_ipo_count,1235,0.0008747803691725118,0.035979775693432255
strategic_allocation_share_pct,1235,0.0010511386969726708,0.034545912277278316
concurrent_ipo_count,1235,-0.003183062772433988,0.029801264181038473
market_turnover_pct_rank_1y,1235,-0.0007878814986808023,0.02678530660895296
strategic_allocation_10k,1235,0.0018068029597597358,0.024198207920807086
comparable_pe_avg_ex_nonrecurring,1235,-0.0004588119813913963,0.022155355932874963
market_return_ma20,1235,-0.0003427459454817731,0.02130261520473587
concurrent_offline_issue_sum_10k,1235,-0.0028204322727550654,0.019648193195974748
industry_pe_at_ipo,1235,0.00037124070584164685,0.01250415661661927
same_board_break_rate_ma10,1235,0.0014663840144051676,0.010924153440184265
