raw_field,clean_field
证券代码,security_code
证券简称,security_name
首发上市日期,listing_date_raw
"首发价格
[单位] 元",offer_price_yuan
"发行数量合计
[单位] 万股",total_issue_shares_10k
"网下发行数量(回拨前)
[单位] 万股",offline_issue_before_clawback_10k
"网上发行数量(回拨前)
[单位] 万股",online_issue_before_clawback_10k
"网上发行数量
[单位] 万股",online_issue_final_10k
"网下发行数量
[单位] 万股",offline_issue_final_10k
"向战略投资者配售数量
[单位] 万股",strategic_allocation_10k
"其它发行数量
[单位] 万股",other_issue_10k
"包销比例
[单位] %",underwriting_ratio_pct
"回拨比例
[单位] %",clawback_ratio_pct
"被剔除的最高价申报量占比
[单位] %",high_price_excluded_subscription_share_pct
"被剔除的申报量占比
[单位] %",excluded_subscription_share_pct
首发市盈率(摊薄),ipo_pe_diluted
"发行市净率
[单位] 倍",issue_pb
"首发时所属行业市盈率
[单位] 倍",industry_pe_at_ipo
可比上市公司PE均值(扣非后),comparable_pe_avg_ex_nonrecurring
"网上发行中签率
[单位] %",online_lottery_rate_pct
"网上超额认购倍数
[单位] 倍",online_oversubscription_ratio
"网下申购配售比例
[单位] %",offline_allotment_ratio_pct
"网下申购总量
[单位] 万股",offline_subscription_total_10k
"网下有效报价申购量
[单位] 万股",offline_valid_quote_subscription_10k
网下超额认购倍数,offline_oversubscription_ratio
"网下超额认购倍数(回拨前)
[单位] 倍",offline_oversubscription_ratio_before_clawback
"网下申购配售对象家数
[单位] 家",offline_allotment_accounts
"网下申购询价对象家数
[单位] 家",offline_inquiry_investors
"网下投资者获配数量
[机构类别] A类投资者
[单位] 万股",a_investor_allotted_shares_10k
"网下投资者申购数量
[机构类别] A类投资者
[单位] 万股",a_investor_subscription_shares_10k
"网下投资者获配家数
[机构类别] A类投资者
[单位] 家",a_investor_allotted_accounts
"网下投资者中签率
[机构类别] A类投资者
[单位] %",a_investor_lottery_rate_pct
